budget,action,adventure,fantasy,science fiction,crime,drama,thriller,animation,family,western,comedy,romance,horror,mystery,history,war,music,documentary,foreign,tv movie,id,popularity,production_companies,production_countries,weekday,day,month,year,revenue,runtime,title,vote_average,vote_count,weighted_rating
255000000,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,57201,49.046956,6,1,3,03,7,2013,89289910,149,The Lone Ranger,5.9,2311,6.906920288528432
225000000,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49521,99.398009,5,2,3,12,6,2013,662845518,143,Man of Steel,6.5,6359,6.898609649542396
225000000,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2454,53.978602,7,4,4,15,5,2008,419651413,150,The Chronicles of Narnia: Prince Caspian,6.3,1630,6.957153586180999
220000000,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24428,144.448633,2,1,3,25,4,2012,1519557910,143,The Avengers,7.4,11776,7.128083532738742
380000000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1865,135.413856,3,1,6,14,5,2011,1045713802,136,Pirates of the Caribbean: On Stranger Tides,6.4,4948,6.900868171497262
225000000,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,41154,52.035179,5,1,3,23,5,2012,624026776,106,Men in Black 3,6.2,4160,6.8858710562414265
250000000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122917,120.965743,5,2,3,10,12,2014,956019788,144,The Hobbit: The Battle of the Five Armies,7.1,4760,7.0159946236559145
215000000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1930,89.866276,3,1,3,27,6,2012,752215857,136,The Amazing Spider-Man,6.5,6586,6.895744950294434
200000000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20662,37.668301,4,2,3,12,5,2010,310669540,140,Robin Hood,6.2,1398,6.957633154026821
250000000,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57158,94.370564,4,2,3,11,12,2013,958400000,161,The Hobbit: The Desolation of Smaug,7.6,4524,7.091938761685409
180000000,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2268,42.990906,4,2,2,04,12,2007,372234864,113,The Golden Compass,5.8,1303,6.940554309394366
207000000,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,61.22601,4,3,3,14,12,2005,550000000,187,King Kong,6.6,2337,6.965804587189524
200000000,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,597,100.025899,3,1,2,18,11,1997,1845034188,194,Titanic,7.5,7562,7.11611694613353
250000000,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271110,198.372395,5,1,3,27,4,2016,1153304495,147,Captain America: Civil War,7.1,7241,7.0224589808008435
209000000,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,44833,64.928382,4,1,3,11,4,2012,303025485,131,Battleship,5.5,2114,6.883049347200708
150000000,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,135397,418.708552,5,1,2,09,6,2015,1513528810,124,Jurassic World,6.5,8662,6.871338601390291
200000000,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,37724,93.004993,1,2,4,25,10,2012,1108561013,143,Skyfall,6.9,7604,6.976677708256656
200000000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,558,35.149586,3,1,5,25,6,2004,783766341,127,Spider-Man 2,6.7,4321,6.955789365983426
200000000,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68721,77.68208,1,2,4,18,4,2013,1215439994,130,Iron Man 3,6.8,8806,6.947902739158729
200000000,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12155,78.530105,5,1,3,03,3,2010,1025491110,108,Alice in Wonderland,6.4,4645,6.9059875189745314
210000000,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,36668,3.857526,11,3,3,24,5,2006,459359555,104,X-Men: The Last Stand,6.3,3525,6.913496932515337
200000000,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,62211,89.186492,2,1,4,20,6,2013,743559607,104,Monsters University,7.0,3528,7.0
150000000,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8373,21.939663,7,1,5,19,6,2009,836297228,150,Transformers: Revenge of the Fallen,6.0,3138,6.88847821451418
210000000,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91314,116.840296,8,1,3,25,6,2014,1091405097,165,Transformers: Age of Extinction,5.8,3095,6.867805659369995
200000000,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,68728,46.985445,2,1,4,07,3,2013,491868548,130,Oz: The Great and Powerful,5.7,3530,6.8391517700665965
200000000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102382,89.270217,4,1,3,16,4,2014,705717432,142,The Amazing Spider-Man 2,6.5,4179,6.928390280681312
170000000,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20526,73.79505,6,1,5,10,12,2010,400062763,125,TRON: Legacy,6.3,2841,6.928569376099996
200000000,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,49013,49.98659,2,1,6,11,6,2011,559852396,106,Cars 2,5.8,2033,6.909754744201531
200000000,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,44912,51.872839,3,1,4,16,6,2011,219851172,114,Green Lantern,5.1,2487,6.828089642376396
200000000,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,10193,59.995418,2,1,3,16,6,2010,1066969703,103,Toy Story 3,7.6,4597,7.093191877555158
200000000,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,534,71.862892,4,4,3,20,5,2009,371353001,115,Terminator Salvation,5.9,2463,6.901347267232277
190000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168259,102.322217,10,2,3,01,4,2015,1506249360,137,Furious 7,7.3,4176,7.0429394022484235
200000000,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,72190,81.834855,7,2,4,20,6,2013,531865000,116,World War Z,6.7,5560,6.94541884816754
250000000,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127585,118.078691,7,2,4,15,5,2014,747862775,131,X-Men: Days of Future Past,7.5,6032,7.097189997422015
190000000,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54138,78.291018,4,1,7,05,5,2013,467365246,132,Star Trek Into Darkness,7.4,4418,7.060072064722279
195000000,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,81005,43.349855,6,1,3,27,2,2013,197687603,114,Jack the Giant Slayer,5.5,2598,6.858794115515617
105000000,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,64682,61.196071,6,2,5,10,5,2013,351040419,143,The Great Gatsby,7.3,3769,7.039302721679586
150000000,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9543,62.169881,2,1,3,19,5,2010,335154643,116,Prince of Persia: The Sands of Time,6.2,2317,6.932144818245049
180000000,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68726,56.523205,4,2,4,11,7,2013,407602906,131,Pacific Rim,6.7,4794,6.951728535946835
195000000,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38356,28.529607,4,1,2,28,6,2011,1123746996,154,Transformers: Dark of the Moon,6.1,3299,6.895081098272024
185000000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217,75.674458,2,1,3,21,5,2008,786636033,122,Indiana Jones and the Kingdom of the Crystal Skull,5.7,2495,6.8820330969267145
175000000,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,105864,51.692953,2,1,6,14,11,2015,331926147,93,The Good Dinosaur,6.6,1736,6.974027528426092
185000000,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,62177,125.114374,2,1,4,21,6,2012,538983207,93,Brave,6.7,4641,6.953027900543167
185000000,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188927,65.352913,7,1,4,07,7,2016,343471816,122,Star Trek Beyond,6.6,2568,6.962739408009286
180000000,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,10681,66.390712,3,1,7,22,6,2008,521311860,98,WALL·E,7.8,6296,7.1609406952965236
140000000,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,5174,22.57178,1,1,3,08,8,2007,258022233,91,Rush Hour 3,6.1,783,6.972668037078695
200000000,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14161,45.274225,4,2,6,10,10,2009,769653595,158,2012,5.6,4903,6.7704511253051525
200000000,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17979,39.744242,2,1,3,04,11,2009,325233863,96,A Christmas Carol,6.6,1095,6.983215175320942
176000003,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76757,85.36908,4,1,3,04,2,2015,183987723,124,Jupiter Ascending,5.2,2768,6.8205704407951595
180000000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258489,42.741719,7,3,3,29,6,2016,356743061,109,The Legend of Tarzan,5.5,2430,6.867116296026248
180000000,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,411,67.391328,2,2,3,07,12,2005,748806957,143,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",6.7,2629,6.97145390712657
178000000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246655,139.272042,6,1,3,18,5,2016,543934787,144,X-Men: Apocalypse,6.4,4721,6.904693650953871
185000000,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,155,187.322927,5,2,3,16,7,2008,1004558444,152,The Dark Knight,8.2,12002,7.389233014431652
175000000,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,14160,92.201962,1,1,3,13,5,2009,735099082,96,Up,7.7,6870,7.150894257922812
175000000,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,15512,36.167578,1,1,4,19,3,2009,381509870,94,Monsters vs Aliens,6.0,1423,6.9461454036256285
140000000,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1726,120.725053,1,1,3,30,4,2008,585174222,126,Iron Man,7.4,8776,7.103931785883468
170000000,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,44826,32.319043,3,3,2,22,11,2011,185770160,126,Hugo,7.0,2141,7.0
170000000,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,8487,40.748915,4,1,2,29,6,1999,222104681,106,Wild Wild West,5.1,1020,6.925518831667948
145000000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1735,60.034162,5,2,2,01,7,2008,401128639,112,The Mummy: Tomb of the Dragon Emperor,5.2,1387,6.905385227574184
175000000,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297761,90.23792,5,1,2,02,8,2016,745000000,123,Suicide Squad,5.9,7458,6.747248752233657
175000000,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2698,27.082182,7,1,6,09,6,2007,173000000,96,Evan Almighty,5.3,1151,6.925176857481549
178000000,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137113,79.456485,6,2,2,27,5,2014,370541256,113,Edge of Tomorrow,7.6,4858,7.097622077835085
175000000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9804,44.640292,4,1,5,28,7,1995,264218220,135,Waterworld,5.9,992,6.958017851646661
175000000,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14869,32.852443,5,2,2,04,8,2009,302469017,118,G.I. Joe: The Rise of Cobra,5.6,1962,6.898123284622803
175000000,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,150540,128.655964,2,1,2,09,6,2015,857611174,94,Inside Out,8.0,6560,7.2078580481622305
175000000,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,278927,94.199316,4,2,4,07,4,2016,966550600,106,The Jungle Book,6.7,2892,6.968894306611214
200000000,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10138,77.300194,1,1,3,28,4,2010,623933331,124,Iron Man 2,6.6,6849,6.9139816006782
170000000,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58595,77.178973,2,1,3,30,5,2012,396600000,127,Snow White and the Huntsman,5.8,3118,6.866932214239989
180000000,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,102651,110.620647,3,1,3,28,5,2014,758539785,97,Maleficent,7.0,4496,7.0
170000000,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,119450,243.791743,3,1,4,26,6,2014,710644566,130,Dawn of the Planet of the Apes,7.3,4410,7.044984699081946
27000000,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,79698,2.418535,7,3,5,13,2,2015,0,109,The Lovers,4.8,34,6.997012063593513
175000000,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64686,41.796339,5,1,5,06,12,2013,150962475,119,47 Ronin,5.9,1326,6.944594697257464
170000000,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100402,72.225265,1,1,4,20,3,2014,714766572,136,Captain America: The Winter Soldier,7.6,5764,7.112417110908854
165000000,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,10192,44.041186,1,1,7,16,5,2010,752600867,93,Shrek Forever After,6.0,1959,6.9273340999295225
190000000,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,158852,130.311355,3,1,2,19,5,2015,209154322,130,Tomorrowland,6.2,2846,6.91823601235366
165000000,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,177572,203.73459,2,1,5,24,10,2014,652105443,102,Big Hero 6,7.8,6135,7.157636100851132
165000000,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,82690,62.341073,1,1,4,01,11,2012,471222889,108,Wreck-It Ralph,7.1,4570,7.015454852891445
165000000,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,5255,47.323228,3,1,3,10,11,2004,305875730,100,The Polar Express,6.4,1474,6.966593639042078
165000000,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47933,48.775723,4,1,3,22,6,2016,389681935,120,Independence Day: Resurgence,4.9,2491,6.809715907024117
165000000,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,10191,67.263269,3,1,5,05,3,2010,494878759,98,How to Train Your Dragon,7.5,4227,7.0723132719745445
200000000,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,296,69.405188,6,3,3,02,7,2003,435000000,109,Terminator 3: Rise of the Machines,5.9,2143,6.913152562354934
170000000,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118340,481.098624,4,2,3,30,7,2014,773328629,121,Guardians of the Galaxy,7.9,9742,7.252368890679868
165000000,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157336,724.247784,5,3,3,05,11,2014,675120017,169,Interstellar,8.1,10867,7.333278501129172
160000000,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,27205,167.58371,3,2,3,14,7,2010,825532764,148,Inception,8.1,13752,7.390359207266722
15000000,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,315011,9.476999,2,1,5,29,7,2016,77000000,120,Shin Godzilla,6.5,143,6.997156266157578
250000000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49051,108.849621,4,2,1,26,11,2012,1021103568,169,The Hobbit: An Unexpected Journey,7.0,8297,7.0
38000000,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9799,6.909942,4,2,5,22,6,2001,207283925,106,The Fast and the Furious,6.6,3428,6.951765864640495
150000000,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,4922,60.269279,3,1,1,24,11,2008,333932083,166,The Curious Case of Benjamin Button,7.3,3292,7.0349073943164155
160000000,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49538,3.195174,9,1,2,24,5,2011,353624124,132,X-Men: First Class,7.1,5181,7.01716642921043
160000000,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131634,127.284427,3,2,3,18,11,2015,653428261,137,The Hunger Games: Mockingjay - Part 2,6.6,3984,6.945017940932929
150000000,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,27022,35.580815,5,1,2,13,7,2010,215283742,109,The Sorcerer's Apprentice,5.8,1470,6.933358519078202
160000000,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,503,21.133748,6,1,5,12,5,2006,181674817,99,Poseidon,5.5,583,6.9658171441973185
170000000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241259,56.268916,5,2,3,25,5,2016,299370084,113,Alice Through the Looking Glass,6.5,1725,6.967726847521047
160000000,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,810,42.986467,2,1,4,17,5,2007,798958165,93,Shrek the Third,6.0,2278,6.916489478700785
160000000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68735,63.148529,4,4,3,25,5,2016,433677183,123,Warcraft,6.3,2268,6.94177790817075
155000000,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,87101,202.042635,3,1,2,23,6,2015,440603537,126,Terminator Genisys,5.8,3631,6.84781530508889
155000000,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10140,49.661984,3,1,5,13,8,2010,415686217,113,The Chronicles of Narnia: The Voyage of the Dawn Treader,6.2,1514,6.95431847325941
140000000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,676,34.20669,2,1,1,21,5,2001,449220945,183,Pearl Harbor,6.6,1791,6.973259676757119
150000000,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1858,25.468493,9,1,3,27,6,2007,709709780,144,Transformers,6.6,4040,6.94435261707989
155000000,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1966,39.019229,8,6,7,21,11,2004,167298192,175,Alexander,5.6,927,6.949944073745516
150000000,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,675,78.144395,2,2,4,28,6,2007,938212738,138,Harry Potter and the Order of the Phoenix,7.4,5494,7.072066636059553
150000000,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,674,101.250416,3,2,6,05,11,2005,895921036,157,Harry Potter and the Goblet of Fire,7.5,5608,7.0916100365917405
150000000,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8960,56.758411,7,1,2,01,7,2008,624029371,92,Hancock,6.2,2961,6.915281999928472
150000000,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6479,70.867401,6,1,5,14,12,2007,585349010,101,I Am Legend,6.9,4853,6.98374367735236
150000000,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,118,53.905592,6,3,3,13,7,2005,474968763,115,Charlie and the Chocolate Factory,6.7,3624,6.962017887087758
150000000,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,2062,65.677399,2,1,5,22,6,2007,623722818,111,Ratatouille,7.5,4369,7.074381150192379
150000000,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272,115.040024,6,2,5,10,6,2005,374218673,140,Batman Begins,7.5,7359,7.113708705460613
150000000,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,10527,44.141021,1,1,4,30,10,2008,603900354,89,Madagascar: Escape 2 Africa,6.2,1810,6.945990302126073
150000000,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,18360,81.781591,6,2,3,20,5,2009,413106170,105,Night at the Museum: Battle of the Smithsonian,5.9,1971,6.919613659115346
150000000,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2080,5.954334,8,1,2,28,4,2009,373062864,107,X-Men Origins: Wolverine,6.2,4021,6.889156128320871
150000000,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,605,73.313918,4,2,3,05,11,2003,424988211,129,The Matrix Revolutions,6.4,3096,6.9338838268792715
150000000,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,109445,165.125366,2,1,3,27,11,2013,1274219009,102,Frozen,7.3,5295,7.052434395114705
150000000,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,604,70.78591,5,2,4,15,5,2003,738599701,138,The Matrix Reloaded,6.7,3443,6.963685265267378
170000000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76338,99.499595,1,1,2,29,10,2013,644571402,112,Thor: The Dark World,6.8,4755,6.9680389850445295
150000000,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,76341,434.278564,3,2,3,13,5,2015,378858340,120,Mad Max: Fury Road,7.2,9427,7.054765155256049
150000000,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,13448,67.447636,4,2,3,13,5,2009,356613439,138,Angels & Demons,6.5,2129,6.960761546684361
150000000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10195,86.493424,1,1,4,21,4,2011,449326618,115,Thor,6.6,6525,6.9172085646312444
150000000,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,13053,41.845878,1,1,5,21,11,2008,309979994,98,Bolt,6.3,1750,6.954205607476636
150000000,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,19585,26.710398,3,1,2,21,7,2009,292817841,88,G-Force,5.1,510,6.962014896119169
150000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57165,44.927635,5,2,2,27,3,2012,301000000,99,Wrath of the Titans,5.5,1431,6.918788543755438
150000000,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,62213,50.306728,7,2,2,08,5,2012,245527149,113,Dark Shadows,5.7,2320,6.889604685212299
150000000,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,177677,114.522237,7,2,4,23,7,2015,682330139,131,Mission: Impossible - Rogue Nation,7.1,3224,7.01142290249433
150000000,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,7978,21.214571,3,1,4,11,2,2010,0,102,The Wolfman,5.5,549,6.967767818701319
150000000,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,5559,29.332905,3,1,7,28,10,2007,287594577,91,Bee Movie,5.7,1171,6.941832562760307
150000000,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,49444,51.247321,1,1,3,25,5,2011,665692281,91,Kung Fu Panda 2,6.7,1880,6.979017857142858
150000000,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10196,33.769336,5,1,3,30,6,2010,318502923,103,The Last Airbender,4.7,1151,6.898768689533862
150000000,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,956,63.079003,7,3,3,03,5,2006,397850012,126,Mission: Impossible III,6.5,2028,6.962483350599378
150000000,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,117251,39.004588,4,1,4,27,6,2013,205366737,131,White House Down,6.4,1891,6.9578074448700304
150000000,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,50321,12.362599,1,1,3,09,3,2011,38992758,88,Mars Needs Moms,5.5,199,6.9881542918369774
149000000,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,11619,22.550135,2,2,7,22,10,2006,64459316,85,Flushed Away,6.0,874,6.966220916750405
